PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user29,50,marvalshot,2992,4630248020_29
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user29,50,marvalshot,491,4630248021_29
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user29,50,marvalshot,5166,4630248022_29
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user29,50,marvalshot,2411,4630248023_29
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user29,86,marvalshot,522,4630248024_29
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user29,50,marvalshot,5295,4630248025_29
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user29,50,marvalshot,4401,4630248026_29
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user29,50,marvalshot,3469,4630248027_29
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user30,50,marvalshot,1351,4630248018_30
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user30,51,marvalshot,802,4630248019_30
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user30,50,marvalshot,2992,4630248020_30
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user30,50,marvalshot,491,4630248021_30
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user30,50,marvalshot,5166,4630248022_30
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user30,50,marvalshot,2411,4630248023_30
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user30,86,marvalshot,522,4630248024_30
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user30,50,marvalshot,5295,4630248025_30
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user30,50,marvalshot,4401,4630248026_30
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user30,50,marvalshot,3469,4630248027_30
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user31,50,marvalshot,1351,4630248018_31
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user31,51,marvalshot,802,4630248019_31
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user31,50,marvalshot,2992,4630248020_31
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user31,50,marvalshot,491,4630248021_31
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user31,50,marvalshot,5166,4630248022_31
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user31,50,marvalshot,2411,4630248023_31
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user31,86,marvalshot,522,4630248024_31
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user31,50,marvalshot,5295,4630248025_31
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user31,50,marvalshot,4401,4630248026_31
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user31,50,marvalshot,3469,4630248027_31
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user32,50,marvalshot,1351,4630248018_32
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user32,51,marvalshot,802,4630248019_32
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user32,50,marvalshot,2992,4630248020_32
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user32,50,marvalshot,491,4630248021_32
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user32,50,marvalshot,5166,4630248022_32
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user32,50,marvalshot,2411,4630248023_32
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user32,86,marvalshot,522,4630248024_32
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user32,50,marvalshot,5295,4630248025_32
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user32,50,marvalshot,4401,4630248026_32
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user32,50,marvalshot,3469,4630248027_32
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user33,50,marvalshot,1351,4630248018_33
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user33,51,marvalshot,802,4630248019_33
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user33,50,marvalshot,2992,4630248020_33
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user33,50,marvalshot,491,4630248021_33
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user33,50,marvalshot,5166,4630248022_33
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user33,50,marvalshot,2411,4630248023_33
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user33,86,marvalshot,522,4630248024_33
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user33,50,marvalshot,5295,4630248025_33
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user33,50,marvalshot,4401,4630248026_33
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user33,50,marvalshot,3469,4630248027_33
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user34,50,marvalshot,1351,4630248018_34
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user34,51,marvalshot,802,4630248019_34
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user34,50,marvalshot,2992,4630248020_34
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user34,50,marvalshot,491,4630248021_34
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user34,50,marvalshot,5166,4630248022_34
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user34,50,marvalshot,2411,4630248023_34
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user34,86,marvalshot,522,4630248024_34
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user34,50,marvalshot,5295,4630248025_34
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user34,50,marvalshot,4401,4630248026_34
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user34,50,marvalshot,3469,4630248027_34
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user35,50,marvalshot,1351,4630248018_35
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user35,51,marvalshot,802,4630248019_35
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user35,50,marvalshot,2992,4630248020_35
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user35,50,marvalshot,491,4630248021_35
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user35,50,marvalshot,5166,4630248022_35
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user35,50,marvalshot,2411,4630248023_35
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user35,86,marvalshot,522,4630248024_35
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user35,50,marvalshot,5295,4630248025_35
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user35,50,marvalshot,4401,4630248026_35
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user35,50,marvalshot,3469,4630248027_35
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user36,50,marvalshot,1351,4630248018_36
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user36,51,marvalshot,802,4630248019_36
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user36,50,marvalshot,2992,4630248020_36
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user36,50,marvalshot,491,4630248021_36
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user36,50,marvalshot,5166,4630248022_36
